"plot" "long" "lat" "Calathea_crotalifera" "Calathea_striata" "Goeppertia_altissima" "Goeppertia_attenuata" "Goeppertia_brev_m10" "Goeppertia_cannoides" "Goeppertia_capitata" "Goeppertia_comosa" "Goeppertia_curaraya" "Goeppertia_elliptica" "Goeppertia_exscapa" "Goeppertia_fragilis" "Goeppertia_fucata" "Goeppertia_hopkinsii" "Goeppertia_loeseneri" "Goeppertia_metallica" "Goeppertia_micans" "Goeppertia_microcephala" "Goeppertia_neblinensis" "Goeppertia_ovata" "Goeppertia_panamensis" "Goeppertia_picturata" "Goeppertia_polytricha" "Goeppertia_sp_m2" "Goeppertia_sp_m3" "Goeppertia_sp_m4" "Goeppertia_sp_m5" "Goeppertia_sp_m9" "Goeppertia_sp1_brev_uat" "Goeppertia_sp1_pec" "Goeppertia_sp15" "Goeppertia_sp16" "Goeppertia_sp17" "Goeppertia_sp18" "Goeppertia_sp19" "Goeppertia_sp2_orna_vir" "Goeppertia_sp20" "Goeppertia_sp21" "Goeppertia_sp22" "Goeppertia_sp24" "Goeppertia_sp25" "Goeppertia_sp26" "Goeppertia_sp28" "Goeppertia_sp29" "Goeppertia_sp3" "Goeppertia_sp3_acre" "Goeppertia_sp30" "Goeppertia_sp31" "Goeppertia_sp32" "Goeppertia_sp33" "Goeppertia_sp35" "Goeppertia_sp36" "Goeppertia_sp38" "Goeppertia_sp39" "Goeppertia_sp4" "Goeppertia_sp41" "Goeppertia_straminea" "Goeppertia_taeniosa" "Goeppertia_variegata" "Goeppertia_zingiberina" "Ischnosiphon_arouma" "Ischnosiphon_cannoideus" "Ischnosiphon_cerotus" "Ischnosiphon_crassispicus" "Ischnosiphon_gracilis" "Ischnosiphon_hirsutus" "Ischnosiphon_killipii" "Ischnosiphon_lasiocoleus" "Ischnosiphon_leucophaeus" "Ischnosiphon_longiflorus" "Ischnosiphon_martianus" "Ischnosiphon_obliquus" "Ischnosiphon_paryrizinho" "Ischnosiphon_petiolatus" "Ischnosiphon_pub_puberulus" "Ischnosiphon_pub_verruculosus" "Ischnosiphon_sp1" "Ischnosiphon_sp2" "Ischnosiphon_sp4" "Ischnosiphon_sp5" "Ischnosiphon_sp7" "Ischnosiphon_sp8" "Ischnosiphon_sp9" "Ischnosiphon_surumuensis" "Ischnosiphon_ursinus" "Monotagma_angustissimum" "Monotagma_aurantispathum" "Monotagma_breviscapum" "Monotagma_contractum" "Monotagma_contrariosum" "Monotagma_densiflorum" "Monotagma_exile" "Monotagma_floribundum" "Monotagma_humile" "Monotagma_juruanum" "Monotagma_laxum" "Monotagma_lilacinum" "Monotagma_plurispicatum" "Monotagma_secundum" "Monotagma_sp2_pime" "Monotagma_sp3_m10" "Monotagma_sp3_pime" "Monotagma_sp4_pime" "Monotagma_sp5_jur" "Monotagma_tomentosum" "Monotagma_ulei" "Monotagma_vaginatum"
"14" "M02_TN_4500" -60.3009325 -3.6686552 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"15" "M02_TS_1500" -60.3189989 -3.690508 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"16" "M02_TS_2500" -60.3113017 -3.6858035 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" "M02_TS_3500" -60.3036022 -3.6811989 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"18" "M02_TS_4500" -60.296184 -3.6761514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" "M03_TN_0500" -60.72872504 -4.127587918 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"20" "M03_TN_1500" -60.72544067 -4.135969738 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"21" "M03_TN_2500" -60.72227013 -4.14447628 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1
"22" "M03_TN_3500" -60.71902852 -4.152825913 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1
"23" "M03_TN_4500" -60.71582026 -4.161277302 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
